Age,Gender,NumberOfChildren,CommuteTime,CountryOfResidence,HoursSpentLearningToCode,Income,IsSoftwareDev,LanguageAtHome,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,ResourceBooks,ResourceCoursera,StudentDebtOwed,ID
16.0,male,,,United States of America,0.0,,0.0,English,,0.0,8.0,,,,72973
23.0,female,,120.0,United States of America,25.0,35000.0,0.0,English,,5000.0,2.0,,,,51862
34.0,male,,0.0,Colombia,15.0,12000.0,1.0,Spanish,,200.0,,,,10000.0,24730
36.0,male,,120.0,United States of America,20.0,,0.0,Spanish,,250.0,3.0,,1.0,,84733
33.0,male,,40.0,United States of America,10.0,45000.0,0.0,English,,500.0,12.0,,,100000.0,62428
29.0,male,,30.0,United States of America,5.0,32000.0,1.0,English,,0.0,12.0,,,13000.0,65867
22.0,female,,,United States of America,8.0,,0.0,English,,500.0,24.0,,1.0,18000.0,57003
22.0,female,,,Canada,2.0,,0.0,French,,0.0,1.0,,,,95565
24.0,male,,,United States of America,,,0.0,Telugu,,300.0,100.0,,,40000.0,77292
38.0,male,,30.0,United States of America,5.0,,1.0,Spanish,,9000.0,18.0,,1.0,,86304
35.0,male,,0.0,United States of America,10.0,54000.0,1.0,English,,15000.0,12.0,,,15000.0,15860
17.0,male,,,United States of America,20.0,,0.0,English,,60.0,6.0,,,,53556
20.0,female,,,Mexico,5.0,,0.0,Spanish,,40.0,48.0,,,,81251
29.0,female,,0.0,United States of America,8.0,10000.0,1.0,English,,200.0,15.0,,1.0,,85270
46.0,male,,90.0,"Netherlands (Holland, Europe)",20.0,100000.0,1.0,English,married or domestic partnership,4000.0,160.0,,,,86142
25.0,male,,120.0,United States of America,5.0,31000.0,0.0,English,,0.0,6.0,,,,13475
32.0,male,,5.0,New Zealand,25.0,20000.0,0.0,Portuguese,,3000.0,12.0,,1.0,,89021
56.0,male,,0.0,United States of America,40.0,18000.0,1.0,English,,1000.0,22.0,,,,47219
23.0,male,,40.0,United States of America,40.0,,1.0,English,,,12.0,,,,68999
19.0,male,,25.0,Germany,15.0,36000.0,1.0,Russian,,120.0,48.0,,1.0,,68296
23.0,male,,,United Kingdom,30.0,,0.0,English,,30.0,8.0,,,21500.0,72976
40.0,female,,45.0,Canada,3.0,50800.0,0.0,English,,100.0,6.0,,1.0,,83382
25.0,male,,120.0,United States of America,10.0,9000.0,1.0,English,,40.0,36.0,,1.0,12000.0,62306
19.0,male,,,Canada,10.0,,0.0,English,,0.0,80.0,,1.0,,96881
24.0,male,,,United States of America,45.0,,0.0,English,,0.0,36.0,,1.0,5000.0,44272
22.0,female,,70.0,United States of America,10.0,45000.0,0.0,English,,0.0,24.0,,,,14118
20.0,male,,,United States of America,,,0.0,English,,50.0,,,1.0,,76191
26.0,male,,,Estonia,25.0,,0.0,English,,500.0,8.0,,1.0,,62193
28.0,male,,15.0,United States of America,10.0,40000.0,0.0,English,,0.0,12.0,,,40000.0,85510
35.0,male,,,Bangladesh,10.0,,0.0,Bengali,"single, never married",450.0,6.0,,,,53552
44.0,female,,60.0,United States of America,20.0,43000.0,0.0,English,,200.0,3.0,,1.0,100000.0,69289
30.0,female,,,United States of America,1.0,,0.0,English,,200.0,8.0,,,,62225
33.0,male,,60.0,United States of America,14.0,84000.0,1.0,English,,600.0,96.0,,,,27706
19.0,male,,,United States of America,5.0,,0.0,English,,25.0,60.0,,,,95444
31.0,male,,,Angola,1.0,,0.0,Portuguese,,0.0,5.0,,,,69046
28.0,male,,200.0,Kazakhstan,40.0,8000.0,0.0,Russian,"single, never married",0.0,8.0,,1.0,,59164
27.0,female,,100.0,Singapore,1.0,30000.0,1.0,Mandarin Chinese,"single, never married",0.0,121.0,,,,91283
25.0,male,,,United States of America,8.0,,0.0,English,,0.0,3.0,,,,52738
19.0,male,,,,3.0,,0.0,Urdu,,0.0,24.0,,,,50235
31.0,genderqueer,,150.0,United States of America,20.0,35000.0,0.0,English,,3000.0,6.0,,,12000.0,46122
22.0,male,,,United States of America,30.0,,0.0,Spanish,,7000.0,6.0,,,,28116
23.0,male,,,United States of America,15.0,,0.0,English,,0.0,10.0,,1.0,,68319
30.0,female,,14.0,,,49500.0,0.0,English,,,,,,,13657
27.0,male,,,United States of America,30.0,,0.0,English,,1000.0,24.0,,,8000.0,49035
36.0,male,,30.0,Germany,3.0,39000.0,1.0,German,,500.0,30.0,,,6000.0,94728
42.0,female,,0.0,United States of America,20.0,20000.0,0.0,English,,0.0,3.0,,,,86179
22.0,male,,,Slovakia,0.0,,0.0,,,0.0,12.0,,,,89756
37.0,male,,,New Zealand,20.0,,0.0,English,,500.0,2.0,,,,90670
20.0,male,,,Serbia,30.0,,0.0,Serbo-Croatian,,0.0,36.0,,,,65217
30.0,female,,15.0,United States of America,20.0,35000.0,0.0,English,,4500.0,5.0,,,,52001
50.0,male,,18.0,United States of America,30.0,85000.0,0.0,English,,1500.0,72.0,,1.0,,24181
32.0,male,,90.0,United States of America,16.0,49000.0,0.0,English,,0.0,3.0,,,,47341
65.0,male,,,United States of America,2.0,,0.0,English,,300.0,200.0,,,,36000
31.0,male,,,Canada,12.0,,0.0,English,,0.0,2.0,,,,15956
23.0,male,,40.0,United States of America,10.0,7000.0,1.0,English,,0.0,55.0,,,,35363
16.0,male,,,United States of America,8.0,,0.0,English,,0.0,6.0,,,,27736
39.0,male,,14.0,Hong Kong,3.0,,0.0,Yue (Cantonese) Chinese,married or domestic partnership,400.0,10.0,,1.0,,73030
19.0,male,,,United States of America,21.0,,0.0,English,,0.0,10.0,,,,23778
21.0,male,,,Pakistan,10.0,,0.0,Urdu,,0.0,24.0,,,,21830
28.0,male,,40.0,United States of America,8.0,30000.0,0.0,English,,250.0,120.0,,,,59501
33.0,male,,,Colombia,10.0,,0.0,Spanish,,500.0,48.0,,1.0,,65049
30.0,male,,0.0,Australia,2.0,55000.0,0.0,English,,40.0,1.0,,,20000.0,54063
20.0,male,,,Morocco,30.0,,0.0,Arabic,,600.0,4.0,,,,75182
24.0,female,,15.0,United States of America,2.0,32000.0,1.0,English,,0.0,30.0,,,,25611
27.0,female,,,United States of America,30.0,,0.0,English,,100.0,6.0,,1.0,,88641
19.0,male,,25.0,United States of America,5.0,8500.0,0.0,English,,60.0,9.0,,,,80249
26.0,male,,40.0,United States of America,10.0,24000.0,0.0,English,married or domestic partnership,500.0,24.0,,,,73131
35.0,male,,75.0,United States of America,10.0,,0.0,English,,0.0,350.0,,1.0,,17197
32.0,male,,,Denmark,8.0,,0.0,English,,0.0,1.0,,,,13769
26.0,male,,,Serbia,8.0,,0.0,Serbo-Croatian,,100.0,12.0,,,,93789
23.0,male,,,Slovakia,4.0,,0.0,,,50.0,12.0,,1.0,,75775
24.0,male,,,Chile,7.0,,0.0,Spanish,,0.0,1.0,,1.0,6500.0,41349
24.0,male,,10.0,Australia,10.0,22000.0,0.0,English,,100.0,36.0,,,15000.0,23033
38.0,male,,,"Netherlands (Holland, Europe)",35.0,,0.0,Dutch,,0.0,5.0,,,6000.0,41013
28.0,female,,90.0,United States of America,5.0,60000.0,0.0,English,,0.0,36.0,,1.0,20000.0,30222
25.0,male,,100.0,Guatemala,12.0,10000.0,0.0,Spanish,,250.0,9.0,,1.0,,22547
29.0,genderqueer,,60.0,United States of America,2.0,18000.0,0.0,English,,0.0,3.0,,1.0,30000.0,45558
20.0,male,,,,14.0,,0.0,,,0.0,4.0,,1.0,,52944
35.0,female,,120.0,United States of America,5.0,,0.0,English,,1500.0,12.0,,,30000.0,49249
