Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed
Newcastle-Brisbane,Newcastle,Brisbane,QantasLink,2021-04-01,77.0,76,1.0,62.0,65.0,14.0,11.0
Newcastle-Melbourne,Newcastle,Melbourne,QantasLink,2021-04-01,50.0,49,1.0,46.0,46.0,3.0,3.0
Newman-Perth,Newman,Perth,QantasLink,2021-04-01,80.0,75,5.0,39.0,46.0,36.0,29.0
Perth-Broome,Perth,Broome,QantasLink,2021-04-01,96.0,95,1.0,73.0,81.0,22.0,14.0
Perth-Kalgoorlie,Perth,Kalgoorlie,QantasLink,2021-04-01,60.0,57,3.0,49.0,48.0,8.0,9.0
Perth-Karratha,Perth,Karratha,QantasLink,2021-04-01,89.0,87,2.0,69.0,64.0,18.0,23.0
Perth-Newman,Perth,Newman,QantasLink,2021-04-01,79.0,77,2.0,69.0,71.0,8.0,6.0
Perth-Port Hedland,Perth,Port Hedland,QantasLink,2021-04-01,77.0,73,4.0,66.0,57.0,7.0,16.0
Port Hedland-Perth,Port Hedland,Perth,QantasLink,2021-04-01,76.0,71,5.0,55.0,54.0,16.0,17.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,QantasLink,2021-04-01,114.0,113,1.0,95.0,94.0,18.0,19.0
Port Macquarie-Sydney,Port Macquarie,Sydney,QantasLink,2021-04-01,107.0,107,0.0,101.0,101.0,6.0,6.0
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,2021-04-01,153.0,150,3.0,135.0,129.0,15.0,21.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,QantasLink,2021-04-01,57.0,54,3.0,36.0,36.0,18.0,18.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,QantasLink,2021-04-01,62.0,61,1.0,45.0,47.0,16.0,14.0
Sydney-Albury,Sydney,Albury,QantasLink,2021-04-01,108.0,108,0.0,91.0,99.0,17.0,9.0
Sydney-Armidale,Sydney,Armidale,QantasLink,2021-04-01,79.0,77,2.0,63.0,63.0,14.0,14.0
Sydney-Ballina,Sydney,Ballina,QantasLink,2021-04-01,97.0,93,4.0,78.0,64.0,15.0,29.0
Sydney-Canberra,Sydney,Canberra,QantasLink,2021-04-01,208.0,198,10.0,159.0,161.0,39.0,37.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,QantasLink,2021-04-01,113.0,111,2.0,98.0,98.0,13.0,13.0
Sydney-Dubbo,Sydney,Dubbo,QantasLink,2021-04-01,84.0,84,0.0,76.0,79.0,8.0,5.0
Sydney-Hobart,Sydney,Hobart,QantasLink,2021-04-01,52.0,52,0.0,45.0,48.0,7.0,4.0
Sydney-Launceston,Sydney,Launceston,QantasLink,2021-04-01,20.0,20,0.0,15.0,16.0,5.0,4.0
Sydney-Port Macquarie,Sydney,Port Macquarie,QantasLink,2021-04-01,107.0,107,0.0,94.0,98.0,13.0,9.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,QantasLink,2021-04-01,61.0,61,0.0,44.0,41.0,17.0,20.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,2021-04-01,106.0,106,0.0,92.0,98.0,14.0,8.0
Townsville-Brisbane,Townsville,Brisbane,QantasLink,2021-04-01,10.0,7,3.0,7.0,5.0,0.0,2.0
Townsville-Cairns,Townsville,Cairns,QantasLink,2021-04-01,108.0,108,0.0,92.0,97.0,16.0,11.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,2021-04-01,105.0,105,0.0,100.0,99.0,5.0,6.0
Adelaide-Melbourne,Adelaide,Melbourne,Regional Express,2021-04-01,59.0,59,0.0,50.0,49.0,9.0,10.0
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Regional Express,2021-04-01,156.0,156,0.0,125.0,125.0,31.0,31.0
Albury-Sydney,Albury,Sydney,Regional Express,2021-04-01,50.0,50,0.0,50.0,50.0,0.0,0.0
Armidale-Sydney,Armidale,Sydney,Regional Express,2021-04-01,44.0,44,0.0,39.0,38.0,5.0,6.0
Ballina-Sydney,Ballina,Sydney,Regional Express,2021-04-01,11.0,11,0.0,11.0,11.0,0.0,0.0
Cairns-Townsville,Cairns,Townsville,Regional Express,2021-04-01,14.0,14,0.0,14.0,14.0,0.0,0.0
Canberra-Sydney,Canberra,Sydney,Regional Express,2021-04-01,69.0,69,0.0,65.0,65.0,4.0,4.0
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Regional Express,2021-04-01,75.0,75,0.0,72.0,70.0,3.0,5.0
Dubbo-Sydney,Dubbo,Sydney,Regional Express,2021-04-01,73.0,72,1.0,67.0,67.0,5.0,5.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Regional Express,2021-04-01,60.0,60,0.0,31.0,28.0,29.0,32.0
Gold Coast-Sydney,Gold Coast,Sydney,Regional Express,2021-04-01,59.0,59,0.0,51.0,52.0,8.0,7.0
Melbourne-Adelaide,Melbourne,Adelaide,Regional Express,2021-04-01,60.0,60,0.0,38.0,40.0,22.0,20.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Regional Express,2021-04-01,60.0,60,0.0,29.0,31.0,31.0,29.0
Melbourne-Mildura,Melbourne,Mildura,Regional Express,2021-04-01,77.0,77,0.0,69.0,72.0,8.0,5.0
Melbourne-Sydney,Melbourne,Sydney,Regional Express,2021-04-01,185.0,175,10.0,162.0,164.0,13.0,11.0
Mildura-Melbourne,Mildura,Melbourne,Regional Express,2021-04-01,76.0,76,0.0,76.0,74.0,0.0,2.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,Regional Express,2021-04-01,156.0,156,0.0,119.0,119.0,37.0,37.0
Port Macquarie-Sydney,Port Macquarie,Sydney,Regional Express,2021-04-01,74.0,74,0.0,69.0,65.0,5.0,9.0
Sydney-Albury,Sydney,Albury,Regional Express,2021-04-01,50.0,50,0.0,48.0,48.0,2.0,2.0
Sydney-Armidale,Sydney,Armidale,Regional Express,2021-04-01,44.0,44,0.0,38.0,39.0,6.0,5.0
Sydney-Ballina,Sydney,Ballina,Regional Express,2021-04-01,11.0,11,0.0,11.0,11.0,0.0,0.0
Sydney-Canberra,Sydney,Canberra,Regional Express,2021-04-01,70.0,70,0.0,64.0,59.0,6.0,11.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Regional Express,2021-04-01,75.0,75,0.0,71.0,71.0,4.0,4.0
Sydney-Dubbo,Sydney,Dubbo,Regional Express,2021-04-01,72.0,72,0.0,67.0,68.0,5.0,4.0
Sydney-Gold Coast,Sydney,Gold Coast,Regional Express,2021-04-01,59.0,59,0.0,56.0,55.0,3.0,4.0
Sydney-Melbourne,Sydney,Melbourne,Regional Express,2021-04-01,185.0,176,9.0,162.0,159.0,14.0,17.0
Sydney-Port Macquarie,Sydney,Port Macquarie,Regional Express,2021-04-01,74.0,74,0.0,66.0,69.0,8.0,5.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,Regional Express,2021-04-01,51.0,51,0.0,47.0,48.0,4.0,3.0
Townsville-Cairns,Townsville,Cairns,Regional Express,2021-04-01,14.0,14,0.0,14.0,14.0,0.0,0.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,Regional Express,2021-04-01,53.0,53,0.0,50.0,47.0,3.0,6.0
Adelaide-Alice Springs,Adelaide,Alice Springs,Virgin Australia,2021-04-01,13.0,13,0.0,13.0,11.0,0.0,2.0
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2021-04-01,84.0,73,11.0,62.0,64.0,11.0,9.0
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2021-04-01,16.0,16,0.0,13.0,15.0,3.0,1.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2021-04-01,38.0,37,1.0,35.0,33.0,2.0,4.0
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,2021-04-01,156.0,155,1.0,135.0,139.0,20.0,16.0
Adelaide-Perth,Adelaide,Perth,Virgin Australia,2021-04-01,42.0,42,0.0,36.0,39.0,6.0,3.0
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,2021-04-01,106.0,105,1.0,87.0,91.0,18.0,14.0
Alice Springs-Adelaide,Alice Springs,Adelaide,Virgin Australia,2021-04-01,13.0,13,0.0,11.0,13.0,2.0,0.0
Ballina-Sydney,Ballina,Sydney,Virgin Australia,2021-04-01,59.0,57,2.0,47.0,49.0,10.0,8.0
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,2021-04-01,85.0,74,11.0,63.0,68.0,11.0,6.0
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,2021-04-01,126.0,121,5.0,105.0,104.0,16.0,17.0
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,2021-04-01,63.0,56,7.0,53.0,55.0,3.0,1.0
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,2021-04-01,34.0,34,0.0,32.0,33.0,2.0,1.0
Brisbane-Emerald,Brisbane,Emerald,Virgin Australia,2021-04-01,22.0,22,0.0,22.0,22.0,0.0,0.0
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia,2021-04-01,52.0,51,1.0,49.0,49.0,2.0,2.0
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Virgin Australia,2021-04-01,34.0,33,1.0,29.0,32.0,4.0,1.0
Brisbane-Hobart,Brisbane,Hobart,Virgin Australia,2021-04-01,37.0,34,3.0,27.0,30.0,7.0,4.0
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,2021-04-01,85.0,85,0.0,74.0,77.0,11.0,8.0
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2021-04-01,195.0,168,27.0,121.0,136.0,47.0,32.0
Brisbane-Mount Isa,Brisbane,Mount Isa,Virgin Australia,2021-04-01,12.0,12,0.0,11.0,8.0,1.0,4.0
Brisbane-Newcastle,Brisbane,Newcastle,Virgin Australia,2021-04-01,45.0,43,2.0,37.0,40.0,6.0,3.0
Brisbane-Perth,Brisbane,Perth,Virgin Australia,2021-04-01,36.0,25,11.0,21.0,24.0,4.0,1.0
Brisbane-Proserpine,Brisbane,Proserpine,Virgin Australia,2021-04-01,38.0,38,0.0,36.0,37.0,2.0,1.0
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,2021-04-01,80.0,80,0.0,70.0,70.0,10.0,10.0
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2021-04-01,251.0,233,18.0,195.0,207.0,38.0,26.0
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,2021-04-01,80.0,78,2.0,65.0,67.0,13.0,11.0
Broome-Perth,Broome,Perth,Virgin Australia,2021-04-01,40.0,39,1.0,27.0,35.0,12.0,4.0
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,2021-04-01,126.0,121,5.0,103.0,112.0,18.0,9.0
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,2021-04-01,41.0,39,2.0,34.0,37.0,5.0,2.0
Cairns-Sydney,Cairns,Sydney,Virgin Australia,2021-04-01,59.0,55,4.0,51.0,51.0,4.0,4.0
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,2021-04-01,16.0,16,0.0,15.0,16.0,1.0,0.0
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,2021-04-01,63.0,56,7.0,52.0,52.0,4.0,4.0
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,2021-04-01,69.0,69,0.0,57.0,60.0,12.0,9.0
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Virgin Australia,2021-04-01,8.0,8,0.0,5.0,6.0,3.0,2.0
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,2021-04-01,33.0,33,0.0,24.0,30.0,9.0,3.0
Darwin-Perth,Darwin,Perth,Virgin Australia,2021-04-01,14.0,14,0.0,8.0,10.0,6.0,4.0
Emerald-Brisbane,Emerald,Brisbane,Virgin Australia,2021-04-01,22.0,22,0.0,20.0,21.0,2.0,1.0
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia,2021-04-01,52.0,51,1.0,49.0,44.0,2.0,7.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,2021-04-01,38.0,37,1.0,32.0,34.0,5.0,3.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,2021-04-01,208.0,204,4.0,146.0,181.0,58.0,23.0
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,2021-04-01,229.0,222,7.0,157.0,173.0,65.0,49.0
Hamilton Island-Brisbane,Hamilton Island,Brisbane,Virgin Australia,2021-04-01,34.0,33,1.0,27.0,30.0,6.0,3.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Virgin Australia,2021-04-01,30.0,30,0.0,24.0,25.0,6.0,5.0
Hobart-Brisbane,Hobart,Brisbane,Virgin Australia,2021-04-01,37.0,34,3.0,28.0,30.0,6.0,4.0
Hobart-Melbourne,Hobart,Melbourne,Virgin Australia,2021-04-01,95.0,95,0.0,79.0,79.0,16.0,16.0
Hobart-Sydney,Hobart,Sydney,Virgin Australia,2021-04-01,60.0,58,2.0,56.0,55.0,2.0,3.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,2021-04-01,16.0,15,1.0,9.0,11.0,6.0,4.0
Karratha-Perth,Karratha,Perth,Virgin Australia,2021-04-01,31.0,31,0.0,25.0,29.0,6.0,2.0
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia,2021-04-01,85.0,85,0.0,70.0,68.0,15.0,17.0
Launceston-Sydney,Launceston,Sydney,Virgin Australia,2021-04-01,30.0,30,0.0,25.0,25.0,5.0,5.0
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,2021-04-01,85.0,85,0.0,76.0,79.0,9.0,6.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,2021-04-01,155.0,155,0.0,126.0,132.0,29.0,23.0
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,2021-04-01,197.0,168,29.0,129.0,131.0,39.0,37.0
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,2021-04-01,41.0,39,2.0,35.0,34.0,4.0,5.0
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,2021-04-01,69.0,69,0.0,55.0,58.0,14.0,11.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,2021-04-01,208.0,204,4.0,157.0,169.0,47.0,35.0
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,2021-04-01,95.0,95,0.0,75.0,72.0,20.0,23.0
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,2021-04-01,85.0,84,1.0,63.0,61.0,21.0,23.0
Melbourne-Newcastle,Melbourne,Newcastle,Virgin Australia,2021-04-01,27.0,27,0.0,20.0,19.0,7.0,8.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,2021-04-01,110.0,109,1.0,79.0,93.0,30.0,16.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,2021-04-01,75.0,73,2.0,69.0,68.0,4.0,5.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2021-04-01,457.0,448,9.0,358.0,370.0,90.0,78.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Virgin Australia,2021-04-01,12.0,12,0.0,10.0,12.0,2.0,0.0
Newcastle-Brisbane,Newcastle,Brisbane,Virgin Australia,2021-04-01,46.0,43,3.0,41.0,42.0,2.0,1.0
Newcastle-Melbourne,Newcastle,Melbourne,Virgin Australia,2021-04-01,27.0,27,0.0,19.0,21.0,8.0,6.0
Newman-Perth,Newman,Perth,Virgin Australia,2021-04-01,36.0,36,0.0,29.0,30.0,7.0,6.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia,2021-04-01,42.0,42,0.0,39.0,37.0,3.0,5.0
Perth-Brisbane,Perth,Brisbane,Virgin Australia,2021-04-01,42.0,26,16.0,22.0,21.0,4.0,5.0
Perth-Broome,Perth,Broome,Virgin Australia,2021-04-01,39.0,39,0.0,28.0,35.0,11.0,4.0
Perth-Darwin,Perth,Darwin,Virgin Australia,2021-04-01,14.0,14,0.0,11.0,11.0,3.0,3.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,2021-04-01,16.0,15,1.0,15.0,15.0,0.0,0.0
Perth-Karratha,Perth,Karratha,Virgin Australia,2021-04-01,31.0,31,0.0,29.0,28.0,2.0,3.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,2021-04-01,111.0,109,2.0,84.0,89.0,25.0,20.0
Perth-Newman,Perth,Newman,Virgin Australia,2021-04-01,36.0,36,0.0,36.0,35.0,0.0,1.0
Perth-Sydney,Perth,Sydney,Virgin Australia,2021-04-01,71.0,71,0.0,58.0,66.0,13.0,5.0
Proserpine-Brisbane,Proserpine,Brisbane,Virgin Australia,2021-04-01,38.0,38,0.0,28.0,35.0,10.0,3.0
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,2021-04-01,80.0,80,0.0,68.0,72.0,12.0,8.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,2021-04-01,75.0,73,2.0,64.0,61.0,9.0,12.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,2021-04-01,60.0,59,1.0,46.0,39.0,13.0,20.0
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,2021-04-01,106.0,105,1.0,80.0,85.0,25.0,20.0
Sydney-Ballina,Sydney,Ballina,Virgin Australia,2021-04-01,59.0,57,2.0,47.0,47.0,10.0,10.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2021-04-01,249.0,231,18.0,195.0,193.0,36.0,38.0
Sydney-Cairns,Sydney,Cairns,Virgin Australia,2021-04-01,59.0,55,4.0,49.0,52.0,6.0,3.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Virgin Australia,2021-04-01,8.0,8,0.0,7.0,6.0,1.0,2.0
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,2021-04-01,229.0,222,7.0,171.0,165.0,51.0,57.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Virgin Australia,2021-04-01,30.0,30,0.0,27.0,29.0,3.0,1.0
Sydney-Hobart,Sydney,Hobart,Virgin Australia,2021-04-01,60.0,58,2.0,56.0,56.0,2.0,2.0
Sydney-Launceston,Sydney,Launceston,Virgin Australia,2021-04-01,30.0,30,0.0,24.0,25.0,6.0,5.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2021-04-01,457.0,448,9.0,332.0,374.0,116.0,74.0
Sydney-Perth,Sydney,Perth,Virgin Australia,2021-04-01,71.0,71,0.0,41.0,58.0,30.0,13.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,2021-04-01,60.0,60,0.0,50.0,46.0,10.0,14.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,2021-04-01,80.0,78,2.0,65.0,72.0,13.0,6.0
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,2021-04-01,5.0,5,0.0,2.0,2.0,3.0,3.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,2021-04-01,40.0,40,0.0,37.0,37.0,3.0,3.0
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,2021-04-01,23.0,23,0.0,15.0,17.0,8.0,6.0
Newman-Perth,Newman,Perth,Virgin Australia Regional Airlines,2021-04-01,20.0,20,0.0,16.0,18.0,4.0,2.0
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,2021-04-01,5.0,5,0.0,3.0,4.0,2.0,1.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,2021-04-01,40.0,40,0.0,35.0,35.0,5.0,5.0
Perth-Karratha,Perth,Karratha,Virgin Australia Regional Airlines,2021-04-01,23.0,23,0.0,18.0,17.0,5.0,6.0
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,2021-04-01,20.0,20,0.0,19.0,19.0,1.0,1.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia Regional Airlines,2021-04-01,52.0,52,0.0,48.0,48.0,4.0,4.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia Regional Airlines,2021-04-01,52.0,52,0.0,39.0,41.0,13.0,11.0
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2021-05-01,27.0,27,0.0,21.0,23.0,6.0,4.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2021-05-01,27.0,27,0.0,23.0,24.0,4.0,3.0
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2021-05-01,110.0,93,17.0,81.0,83.0,12.0,10.0
Adelaide-Perth,Adelaide,Perth,Jetstar,2021-05-01,26.0,25,1.0,24.0,24.0,1.0,1.0
Adelaide-Sydney,Adelaide,Sydney,Jetstar,2021-05-01,99.0,92,7.0,83.0,80.0,9.0,12.0
Ballina-Sydney,Ballina,Sydney,Jetstar,2021-05-01,79.0,79,0.0,66.0,65.0,13.0,14.0
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,2021-05-01,27.0,27,0.0,17.0,22.0,10.0,5.0
Brisbane-Cairns,Brisbane,Cairns,Jetstar,2021-05-01,80.0,80,0.0,66.0,67.0,14.0,13.0
Brisbane-Darwin,Brisbane,Darwin,Jetstar,2021-05-01,18.0,18,0.0,14.0,7.0,4.0,11.0
Brisbane-Hobart,Brisbane,Hobart,Jetstar,2021-05-01,18.0,18,0.0,17.0,17.0,1.0,1.0
Brisbane-Mackay,Brisbane,Mackay,Jetstar,2021-05-01,26.0,26,0.0,22.0,21.0,4.0,5.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2021-05-01,180.0,160,20.0,130.0,140.0,30.0,20.0
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,2021-05-01,61.0,60,1.0,52.0,54.0,8.0,6.0
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,2021-05-01,27.0,27,0.0,23.0,23.0,4.0,4.0
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2021-05-01,166.0,159,7.0,134.0,144.0,25.0,15.0
Brisbane-Townsville,Brisbane,Townsville,Jetstar,2021-05-01,61.0,61,0.0,50.0,52.0,11.0,9.0
Cairns-Brisbane,Cairns,Brisbane,Jetstar,2021-05-01,80.0,80,0.0,70.0,71.0,10.0,9.0
Cairns-Melbourne,Cairns,Melbourne,Jetstar,2021-05-01,116.0,110,6.0,89.0,95.0,21.0,15.0
Cairns-Sydney,Cairns,Sydney,Jetstar,2021-05-01,85.0,81,4.0,67.0,71.0,14.0,10.0
Darwin-Brisbane,Darwin,Brisbane,Jetstar,2021-05-01,18.0,18,0.0,5.0,6.0,13.0,12.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,2021-05-01,27.0,27,0.0,22.0,23.0,5.0,4.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,2021-05-01,217.0,197,20.0,166.0,175.0,31.0,22.0
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,2021-05-01,261.0,234,27.0,202.0,204.0,32.0,30.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,2021-05-01,13.0,13,0.0,9.0,10.0,4.0,3.0
Hobart-Brisbane,Hobart,Brisbane,Jetstar,2021-05-01,18.0,18,0.0,15.0,12.0,3.0,6.0
Hobart-Melbourne,Hobart,Melbourne,Jetstar,2021-05-01,138.0,127,11.0,105.0,103.0,22.0,24.0
Hobart-Sydney,Hobart,Sydney,Jetstar,2021-05-01,63.0,63,0.0,55.0,53.0,8.0,10.0
Launceston-Melbourne,Launceston,Melbourne,Jetstar,2021-05-01,93.0,86,7.0,70.0,73.0,16.0,13.0
Launceston-Sydney,Launceston,Sydney,Jetstar,2021-05-01,27.0,27,0.0,13.0,16.0,14.0,11.0
Mackay-Brisbane,Mackay,Brisbane,Jetstar,2021-05-01,26.0,26,0.0,20.0,22.0,6.0,4.0
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,2021-05-01,110.0,93,17.0,81.0,84.0,12.0,9.0
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,2021-05-01,180.0,160,20.0,136.0,130.0,24.0,30.0
Melbourne-Cairns,Melbourne,Cairns,Jetstar,2021-05-01,116.0,110,6.0,82.0,93.0,28.0,17.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,2021-05-01,217.0,197,20.0,161.0,159.0,36.0,38.0
Melbourne-Hobart,Melbourne,Hobart,Jetstar,2021-05-01,138.0,127,11.0,108.0,108.0,19.0,19.0
Melbourne-Launceston,Melbourne,Launceston,Jetstar,2021-05-01,93.0,86,7.0,69.0,69.0,17.0,17.0
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,2021-05-01,62.0,55,7.0,50.0,49.0,5.0,6.0
Melbourne-Perth,Melbourne,Perth,Jetstar,2021-05-01,62.0,51,11.0,43.0,41.0,8.0,10.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,2021-05-01,62.0,59,3.0,42.0,36.0,17.0,23.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2021-05-01,332.0,257,75.0,220.0,224.0,37.0,33.0
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,2021-05-01,61.0,60,1.0,52.0,53.0,8.0,7.0
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,2021-05-01,63.0,56,7.0,49.0,50.0,7.0,6.0
Perth-Adelaide,Perth,Adelaide,Jetstar,2021-05-01,26.0,25,1.0,18.0,21.0,7.0,4.0
Perth-Melbourne,Perth,Melbourne,Jetstar,2021-05-01,62.0,50,12.0,34.0,35.0,16.0,15.0
Perth-Sydney,Perth,Sydney,Jetstar,2021-05-01,49.0,47,2.0,17.0,21.0,30.0,26.0
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,2021-05-01,27.0,27,0.0,20.0,19.0,7.0,8.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,2021-05-01,62.0,59,3.0,30.0,34.0,29.0,25.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,2021-05-01,83.0,82,1.0,71.0,69.0,11.0,13.0
Sydney-Adelaide,Sydney,Adelaide,Jetstar,2021-05-01,99.0,92,7.0,83.0,84.0,9.0,8.0
Sydney-Ballina,Sydney,Ballina,Jetstar,2021-05-01,79.0,79,0.0,70.0,73.0,9.0,6.0
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2021-05-01,165.0,159,6.0,134.0,138.0,25.0,21.0
Sydney-Cairns,Sydney,Cairns,Jetstar,2021-05-01,85.0,81,4.0,65.0,70.0,16.0,11.0
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,2021-05-01,261.0,234,27.0,201.0,200.0,33.0,34.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,2021-05-01,13.0,13,0.0,11.0,12.0,2.0,1.0
Sydney-Hobart,Sydney,Hobart,Jetstar,2021-05-01,63.0,63,0.0,49.0,52.0,14.0,11.0
Sydney-Launceston,Sydney,Launceston,Jetstar,2021-05-01,27.0,27,0.0,20.0,18.0,7.0,9.0
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2021-05-01,331.0,257,74.0,227.0,233.0,30.0,24.0
Sydney-Perth,Sydney,Perth,Jetstar,2021-05-01,49.0,49,0.0,30.0,38.0,19.0,11.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,2021-05-01,83.0,83,0.0,72.0,73.0,11.0,10.0
Townsville-Brisbane,Townsville,Brisbane,Jetstar,2021-05-01,61.0,61,0.0,49.0,51.0,12.0,10.0
Adelaide-Alice Springs,Adelaide,Alice Springs,Qantas,2021-05-01,24.0,24,0.0,22.0,19.0,2.0,5.0
