serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DAQ66UL12,12/12/2017,F & J BAKERY,97,,5410 W ADAMS BLVD,90016,OW0030723,"ROSALES, FRANCISCO","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",MODERATE
DAZUDG40K,12/12/2017,NELLIE'S MARKET,97,,816 N VERMONT AVE,90029,OW0008088,"CHUNG, YANG J","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAA0CTYEL,12/12/2017,USC MAIN KITCHEN-BASEMENT,98,,3607 TROUSDALE PKWY,90089,OW0037014,USC HOSPITALITY SERVICES,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DA0WVI79L,12/12/2017,GALLERIA MARKET,98,,440 S VERMONT AVE,90020,OW0012651,"GALLERIA MARKET, LP","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",HIGH
DADJNH8QN,12/12/2017,SILVERLAKE WINE COMPANY,98,,2395 N GLENDALE BLVD STE A,90039,OW0032913,SILVERLAKE WINE COMPANY LLC,RESTAURANT (0-30) SEATS LOW RISK,LOW
DAZ6EAZFW,12/12/2017,PANDA  EXPRESS,98,,3607 TROUSDALE PKWY,90089,OW0037014,USC HOSPITALITY SERVICES,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAWFYAA3,12/12/2017,VONS MARKET #2077,98,,3118 S SEPULVEDA BLVD,90034,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DADC9XIVQ,12/12/2017,ALFARO'S MARKET,98,,4828 S FIGUEROA ST,90037,OW0040100,ZACAMITZIN MARIA D.,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAPZHVH3H,12/12/2017,GARCIA'S MARKET,98,,1177 W VERNON AVE,90037,OW0012746,GARCIA NICOLAS,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAJBQ0ILU,12/12/2017,GALLERIA MARKET,98,,440 S VERMONT AVE,90020,OW0012651,"GALLERIA MARKET, LP","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",HIGH
DA1STWHNC,12/12/2017,PACO'S CANTINA INC,98,,6212 W MANCHESTER AVE,90045,OW0027229,PACO'S CANTINA INC,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAKFP0SES,12/12/2017,FOUNTAIN MINI MARKET,98,,4878 1/2 FOUNTAIN AVE,90029,OW0016858,"ISLAM, SHOYEBUL","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DARVYN7Z1,12/12/2017,DAD'S MOBIL,98,,657 N VERMONT AVE,90004,OW0002301,"ALSKAF,ABODOULLA FAYEZ","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DATXA0XNR,12/12/2017,I STOP MARKET,98,,4900 FOUNTAIN AVE,90029,OW0009684,"DELEON, JUAN","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAYHV26J3,12/12/2017,KATO,98,,11925 SANTA MONICA BLVD,90025,OW0229187,KATO RESTAURANT GROUP LLC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DARPK4HAE,12/12/2017,MOUNTAINGATE COUNTRY CLUM,99,,12445 MOUNTAIN GATE,90049,OW0002528,AMERICAN GOLF CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAYPKFETH,12/12/2017,TRADITIONS PUB,99,,3607 TROUSDALE PKWY,90089,OW0037014,USC HOSPITALITY SERVICES,RESTAURANT (151 + ) SEATS MODERATE RISK,MODERATE
DAW4AO7JJ,12/12/2017,RALPHS MARKET #709,99,,11361 NATIONAL BLVD,90064,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAGVCOL6W,12/12/2017,WHOLE FOODS MARKET,99,,11666 NATIONAL BLVD,90064,OW0038850,"WHOLE FOODS MARKET, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAILKUCLL,12/12/2017,SUBWAY #13476,99,,3627 S LA BREA AVE,90016,OW0025282,MUITANI SURSIT,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DACLRSAYK,12/13/2017,VANESSA'S BAKERY,80,,7927 S MAIN ST,90003,OW0129035,MARI DE LA LUZ PAREDES,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA119VE7H,12/13/2017,DENNY'S #6865,85,,3750 WILSHIRE BLVD,90010,OW0010586,E J RESTAURANTS INC,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAQN7WJYL,12/13/2017,TACOS GALAN,85,,6707 S BROADWAY,90003-1844,OW0239348,GENDRI AUGUSTO GALEN CASTELLON,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAHTDGMKM,12/13/2017,"BURGER FACTORY, INC.",87,,2066 W WASHINGTON BLVD,90018,OW0100544,"BURGER FACTORY, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA8Y4WELH,12/13/2017,TRIMANA,90,,3550 WILSHIRE BLVD STE #116,90010,OW0018132,"JUNG, CHUL HEE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAGZVP778,12/13/2017,SANSAI JAPANESE GRILL,90,,8601 LINCOLN BLVD STE 120,90045,OW0037063,VADA INVESTMENT CORP,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA33KOB0Y,12/13/2017,CLEO,90,,8384 W 3RD ST,90048-4311,OW0246337,"CLEO W. 3RD , LLC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DASESIAZI,12/13/2017,CRAZY CHICKEN,90,,701 S VERMONT AVE,90005,OW0243877,"VERMONT CHICKEN, INC",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAQPEPU2W,12/13/2017,TAKAMI SUSHI & ROBATA REST,90,,811 WILSHIRE BLVD STE 2100,90017,OW0010387,DOWNTOWN ENTERTAINMENT GROUP,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAJUCHXPF,12/13/2017,EAST LOS ANGELES OCCUPATIONA,90,,2100 MARENGO ST,90033,OW0002064,"ALEJO,MARIO I",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAD6TFIJB,12/13/2017,KRUANG TEDD,90,,5151 HOLLYWOOD BLVD,90027,OW0001034,5151 HOLLYWOOD LLC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIXQ6E6W,12/13/2017,SON OF A GUN,90,,8370 W 3RD ST,90048,OW0004354,BENEDIK & HILL LP,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA3FEINTW,12/13/2017,GRAND STAR,90,,943 SUN MUN WAY,90012,OW0029291,QUON BROS GRAND STAR INC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAUFVMETG,12/13/2017,GRANDMA'S DELI,90,,7300 W SUNSET BLVD STE #M,90046,OW0013948,"GRANDMA'S DELI, INC",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAAR9UVLR,12/13/2017,LUCKY DONUTS,90,,528 E MANCHESTER AVE,90003,OW0036438,"TRAN, SHEILA",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAGRXIXOF,12/13/2017,DAMORES PIZZA,90,,1136 WESTWOOD BLVD,90024,OW0130440,"PIZZA BROTHERS WESTWOOD, INC.",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAJ8S5PH2,12/13/2017,YAMAZAKI OF CALIFORNIA INC,90,,123 JAPANESE VLG PLZ MALL,90012,OW0039473,YAMAZAKI OF CALIFORNIA INC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
